judul,tanggal,sumber,url,konten
Google News,,AsatuNews.co.id,https://news.google.com/rss/articles/CBMieEFVX3lxTE0wQVlac1NfMG81bkhsX2M2Q2Y2Rk90dkh4eFR0N3I2YS1MNm1rX0o0WVhaQzdsZXNkYV9tbEVLazVjMFpYbFdYTElzMk92ZFZTYy1DekV6M0hrQi1Yb0UydVRmNDZMVFkwV1NJZGxSdWpUeS1aNm5yZw?oc=5,
Google News,,AsatuNews.co.id,https://news.google.com/rss/articles/CBMidkFVX3lxTFBVTzRQNkFPZzN3V01OU2hWeFU5cDRCOF9DVjdFOENuRmwtSG1zS25lVDd5SmF3QTJPSlhhV2xkU0V0dXJjWE9NRjczMktaTWtDSzBvOHg5YVFEelNhTGxNVkdyQkRnXzdJcTFDLUtPSXlza2pxQ0E?oc=5,
Google News,,HarianBasis.co,https://news.google.com/rss/articles/CBMidkFVX3lxTE0yWFVINmtPdzhkQ1F0bHdkb2FIdGhiM0RqaGhiNFN2VG5IUEFvU3dHVXN4UTNnLW50dGtWRVBHNzRpY0tCQk4xS0hCc0I1TU9UckQtQU9PTkhyS1BkQ19VMjEzSHZ4Z1J2eHJhbncyb0VYblVWWnc?oc=5,
Google News,,Indonesiainside.id,https://news.google.com/rss/articles/CBMi0wFBVV95cUxPUi1PcXhrQ3Z3d0l5Q0tlQW10UC1uZ1BnX3lCWGl0b1RYSmgtRXJyMTAydVM2UzMySHdNWmstZ0tEemVKQXRucWtQN29BS0M5T1lheXQtbDRORllZSksyMDlpdW5oRWhhR01fWGUxdWkxa3pWM3dyNXJYS2lmRHc4MF9pYXRJOUhoVGpoSmViMmt2VDdmdzY4Sy15akRrWGdoMENBMmRINFRRSlA2U3ZsTVZEbGpjRk9GWEFsN1E3VFJwaFhwODZUUENqUWsxb0pnUVJv?oc=5,
Google News,,HarianBasis.co,https://news.google.com/rss/articles/CBMib0FVX3lxTE5RcmstcGIxMUx3aVl2cGZLZ1VOTU1nSXE1SF9pcFR6YUhhT3ZFM2VQdmU0ZlBjOG5rNjh5ZkYtUGVad3hBUmxtb3A2OW9uRTl1OHMyRjBGVjc1VF9nSGVvYl9SNmJTUUprRHhHTXA1NA?oc=5,
Google News,,Emsatunews,https://news.google.com/rss/articles/CBMirwFBVV95cUxOQmhKTGpNUURnOHNTS214WmVLNGJTQVp5aEcyVnRHZjNqZnc2Z1RWNU1NcVg3VkN4NkUzVWx6UXBsRmUtaE5Cb0Q5WHpzdmRvQXVZSkNLQmZCZ29kcEV6U1pYOFd5ZW5NY1B5Q2lFMDJPN2RXaXY2ZVp3dkdXcWdqYTRxRWs4Nmo2NmlUZ043TTNPYjBMTWxkVkFjMEs4bFFNWjl0VDBJNWdRNlJxZDVZ?oc=5,
Google News,,HarianBasis.co,https://news.google.com/rss/articles/CBMie0FVX3lxTE1ncE1KQ2p2Z2JaZ21Sd0xtMkp5b21Nem45VENieDBzeENtMnBBMUkwTk9teEpibVBZWUlKaDhNTFc5Y0ZaVGVPaWJjWFNEenNXbVR3QktTZDFnMWVXVFJlTFpzWWxIbExLdW9oUTk0SmNoSDBYZHZwQnlOVQ?oc=5,
Google News,,Pacitanku.com,https://news.google.com/rss/articles/CBMixAFBVV95cUxNaUlJVmN1dlMyd3RkQTJDOWVGeUcxUVF5eXNIa2t3ampWM3RVeG9nTVZzNFUxOWszbVdvY2tMLUZHMEIyMVdvU25VdVpYcEpzSWNWWWNXMEN4RkVUZ3NRLU1aSkloTWhJVUp1eVYtV21nUlM3RUVlZlVhdnF6VFhWeEduRVluTDN2andrQlRZMTJaY1VuUXl1cFJORUhIWE42N256dTJqX3lCRDdGX25aWEVuZ1dYaDNCNVlmTmdtajRLcWdC?oc=5,
Google News,,Fokus Satu,https://news.google.com/rss/articles/CBMizAFBVV95cUxOcTE4U3R1NUFGZGdkTDFRM18zTUpoWmtfSjA1YmZBd3g0RWtIMC0wRS1ZZG0yU1c0VlhjNjUxTkxPT3F2VkxpVlVWUUlQa1pialFubldLNTduU3RFNXVKVUlwNnR2Skl1blkxTk12OFU1R18wa1BhNHBZdXJKU3VrOGtNc0p0Vkg2UDFxX2Y2SGVxc0JQSkNhc1RsbzhqNkJTenVFdkQ4Y1oteGdSQjB6VHdFUk1iZWI4QzZ3OHcxOFc3UmZ4UzNPTUlldDbSAdIBQVVfeXFMUC1oSE8zN0VmSTV4ZGFiWk9YTWFydk5rWHZpblN6NkZzOFI4bDFzaVhVNE5pMi1MdV9HYTlISTVaeW5aQXg2TldFejJlM2Z3RGx4M29CaWlDdENxQXdWalg4TjFIYlR2N1BVU1BFOU91aGtreG9taDFPSl9pWUt6Qy1uVk00c3RYSk5uMm9HWE9OOUZ5U3hndDgwQlBlMUZGeFF4ejhFYXF0dzlmeWxQaVVCb2hWRnZFYXFuNldYLWliT21IZDQzUW5lMVJxeFJuWl9R?oc=5,
Google News,,jakarta.times.co.id,https://news.google.com/rss/articles/CBMirgFBVV95cUxNbmRkdVFfdkNmcDNveTU5OGx1VjBwQWhTVzllYUI0d2Y3eXdYSzRSQ2xVUWl2dmRHN1ZEMDJWTWFxNnhVZG1Vc2poOXFLS0cxeGpBV0tWY2xuR0FCR296WlpweHlxajdMbmRONlZQOGlqUW5vczB6RlNEc0lUVGZPekFsb0ZHdnJBTF8zZGpXQ2kycUcyZHJNWGdaZEktd29ZWlFlOEJieVFESzNaSnc?oc=5,
